ID,age,workclass,education,marital_status,occupation,relationship,race,sex,native_country,amount
42,25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
43,57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States, >50K
44,53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
45,44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
46,41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
47,29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
48,25, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female, United-States, <=50K
49,47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, Honduras, >50K
50,50, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
51,47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
52,43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
53,46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, <=50K
54,35, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, Puerto-Rico, <=50K
55,41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
56,30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
57,30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
58,48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
59,42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
60,29, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male, United-States, <=50K
61,36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
62,28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
63,53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
64,49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
65,19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
66,31, Private, Bachelors, Separated, Sales, Own-child, Black, Female, United-States, <=50K
67,29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
68,23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
69,79, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States, <=50K
70,27, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, Mexico, <=50K
71,40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
72,67, ?, 10th, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
73,18, Private, 11th, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
74,31, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
75,18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
76,52, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male, Cuba, <=50K
77,46, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
78,59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
79,44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female, United-States, >50K
80,53, Private, HS-grad, Divorced, Sales, Own-child, White, Female, United-States, <=50K
81,49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
82,33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
83,30, Private, 9th, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
84,43, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
85,57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
86,37, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female, United-States, <=50K
87,28, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
88,34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
89,29, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
90,48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
91,37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
92,48, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female, England, <=50K
93,32, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
94,76, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
95,44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
96,47, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
97,20, Private, Some-college, Never-married, Tech-support, Own-child, White, Female, United-States, <=50K
98,29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
99,32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
100,30, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
101,31, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
102,42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
103,24, Private, Bachelors, Never-married, Sales, Other-relative, White, Male, United-States, <=50K
104,38, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
105,56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Canada, >50K
106,28, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female, United-States, <=50K
107,36, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
108,53, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
109,56, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
110,49, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, >50K
111,55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
112,22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
113,21, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
114,40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
115,30, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male, Germany, <=50K
116,29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
117,19, Private, Some-college, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
118,47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
119,20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
120,31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
121,35, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
122,39, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
123,28, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
124,24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
125,38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
126,37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
127,46, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female, United-States, <=50K
128,38, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, Iran, >50K
129,43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
130,27, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
131,20, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
132,49, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, >50K
133,61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
134,27, Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States, <=50K
135,19, Private, Some-college, Never-married, Other-service, Own-child, White, Male, Mexico, <=50K
136,45, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
137,70, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male, United-States, <=50K
138,31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female, United-States, <=50K
139,22, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
140,36, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female, United-States, <=50K
141,64, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
142,47, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, Mexico, <=50K
143,34, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
144,33, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, Philippines, <=50K
145,21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
146,48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
147,23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
148,71, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male, United-States, <=50K
149,29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
150,42, Private, Bachelors, Separated, Other-service, Other-relative, Black, Male, United-States, <=50K
151,25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female, United-States, <=50K
152,44, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female, United-States, <=50K
153,28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, England, <=50K
154,45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
155,36, Private, Some-college, Divorced, Other-service, Unmarried, White, Female, Mexico, <=50K
156,39, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
157,46, State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male, United-States, <=50K
158,18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
159,66, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
160,27, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
161,28, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
162,51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
163,27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
164,28, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
165,27, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female, United-States, <=50K
166,21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male, United-States, <=50K
167,34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male, United-States, <=50K
168,18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
169,33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
170,44, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
171,43, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
172,30, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male, United-States, <=50K
173,40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, >50K
174,37, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
175,34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, <=50K
176,41, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
177,31, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, <=50K
178,58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
179,38, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female, United-States, <=50K
180,24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
181,41, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, <=50K
182,47, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
183,41, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
184,23, Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male, Mexico, <=50K
185,36, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
186,40, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, >50K
187,35, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States, >50K
188,24, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
189,26, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
190,51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
191,42, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
192,37, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
193,18, Private, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
194,36, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, >50K
195,35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
196,58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
197,17, Private, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
198,44, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States, <=50K
199,37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
200,35, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K
201,60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, <=50K
202,54, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
203,37, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male, United-States, >50K
204,50, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female, United-States, <=50K
205,38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, Poland, <=50K
206,45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
207,25, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
208,31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
209,90, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male, United-States, <=50K
210,54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, <=50K
211,53, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
212,18, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States, <=50K
213,66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
214,75, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female, Columbia, <=50K
215,65, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
216,35, Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male, United-States, <=50K
217,41, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female, United-States, <=50K
218,25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
219,33, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female, United-States, <=50K
220,28, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
221,59, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
222,40, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
223,41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, Iran, >50K
224,38, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
225,23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male, United-States, <=50K
226,40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
227,41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
228,24, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
229,38, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
230,58, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
231,32, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
232,40, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
233,41, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
234,42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States, <=50K
235,59, Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female, United-States, <=50K
236,19, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
237,58, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
238,42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, Cambodia, >50K
239,20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
240,32, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female, United-States, <=50K
241,45, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
242,50, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
243,36, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
244,45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
245,17, Private, 11th, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
246,59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
247,26, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
248,37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, Thailand, >50K
249,64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
250,33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
251,33, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States, >50K
252,61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
253,17, Private, 9th, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
254,50, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
255,27, Local-gov, Masters, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
256,30, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
257,43, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States, <=50K
258,44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
259,35, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
260,25, Private, Some-college, Never-married, Tech-support, Own-child, White, Female, United-States, <=50K
261,24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States, >50K
262,22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, Germany, <=50K
263,42, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
264,34, Private, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female, United-States, <=50K
265,60, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
266,21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
267,57, Federal-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
268,41, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
269,50, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male, United-States, <=50K
270,25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
271,50, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male, Ecuador, <=50K
272,36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
273,31, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
274,29, Local-gov, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male, United-States, <=50K
275,21, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
276,27, Private, Bachelors, Never-married, Tech-support, Unmarried, Black, Female, United-States, <=50K
277,65, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
278,37, Self-emp-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female, United-States, <=50K
279,24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
280,38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male, United-States, <=50K
281,48, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
282,21, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female, United-States, <=50K
283,31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
284,55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
285,24, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female, Laos, <=50K
286,43, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
287,26, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, White, Male, United-States, <=50K
288,46, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
289,35, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
290,41, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, >50K
